State,Area(SqKm),Population-2001,Literacy-2001,Sex_Ratio-2001,Population-2011,Literacy-2011,Sex_Ratio-2011
India,3287240,1028737436,65.38,933,1210854977,74.04,940
Uttar Pradesh,240928,166197921,56,898,199812341,67.68,912
Maharashtra,307713,96878627,76.9,922,112374333,82.34,929
Bihar,94163,82998509,47,919,104099452,61.8,918
West Bengal,88752,80176197,69,934,91276115,76.26,950
Andhra Pradesh,275045,76210007,61,978,84580777,67.02,993
Madhya Pradesh,308252,60348023,63.7,919,72626809,69.32,931
Tamil Nadu,130060,62405679,73.5,987,72147030,80.09,996
Rajasthan,342239,56507188,60.1,921,68548437,66.11,928
Karnataka,191791,52850562,67,965,61095297,75.36,973
Gujarat,196244,50671017,69,920,60439692,78.03,919
Orissa,155707,36804660,63,972,41974218,72.87,979
Kerala,38852,31841374,91,1059,33406061,94,1084
Jharkhand,79716,26945829,54,941,32988134,66.41,948
Assam,78438,26655528,63,935,31205576,72.19,958
Punjab,50362,24358999,70,876,27743338,75.84,895
Chhattisgarh,135192,20833803,65,989,25545198,70.28,991
Haryana,44212,21144564,58,861,25351462,75.55,879
Jammu and Kashmir,222236,10143700,56,892,12541302,67.16,889
Uttarakhand,53483,8489349,72,962,10086292,78.82,963
Himachal Pradesh,55673,6077900,77,968,6864602,82.8,972
Tripura,10486,3199203,73,948,3673917,87.22,960
Meghalaya,22429,2318822,63,972,2966889,74.43,989
Manipur,22327,2166788,71,978,2855794,76.94,985
Nagaland,16579,1990036,67,900,1978502,79.55,931
Goa,3702,1347668,82,961,1458545,88.7,973
Arunachal Pradesh,83743,76210007,54,893,1383727,65.38,938
Puducherry,490,974345,81,1001,1247953,85.85,1037
Mizoram,21081,888573,89,935,1097206,91.33,976
Sikkim,7096,540851,69,875,610577,81.42,890
Delhi,1483,13850507,82,821,16787941,86.21,868
Chandigarh,114,900635,82,777,1055450,86.05,818
Andaman and Nicobar Islands,8249,356152,81,846,380581,86.63,876
Dadra and Nagar Haveli,491,220490,58,812,343709,76.24,774
Daman and Diu,111,158204,78,710,243247,87.1,618
Lakshadweep,30,60650,87,948,64473,91.85,946
